,#,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
0,1,USA,"44,450,392","+6,987","719,051",+67,"33,818,094","+1,600","9,913,247","19,900","133,314","2,157","643,805,421","1,930,876","333,426,623"
1,2,India,"33,812,523","+23,125","448,844",+239,"33,085,992","+25,012","277,687","8,944","24,205",321,"571,994,990","409,463","1,396,938,965"
2,3,Brazil,"21,445,651",,"597,292",,"20,432,643",,"415,716","8,318","100,005","2,785","57,282,520","267,119","214,446,053"
3,4,UK,"7,871,014","+30,301","136,910",+121,"6,387,267","+31,508","1,346,837",815,"115,189","2,004","304,621,001","4,457,995","68,331,387"
4,5,Russia,"7,560,767","+25,219","209,028",+886,"6,710,574","+17,852","641,165","2,300","51,782","1,432","192,100,000","1,315,639","146,012,658"
5,6,Turkey,"7,210,916","+27,973","64,467",+203,"6,664,242","+22,110","482,207",633,"84,366",754,"87,018,268","1,018,095","85,471,655"
6,7,France,"7,023,315","+4,948","116,789",+30,"6,788,312","+7,633","118,214","1,355","107,302","1,784","143,234,831","2,188,329","65,453,966"
7,8,Iran,"5,611,700","+10,135","120,880",+217,"5,075,482","+21,931","415,338","5,802","65,761","1,417","32,306,789","378,591","85,334,211"
8,9,Argentina,"5,258,466",,"115,225",,"5,119,953",,"23,288","1,085","115,031","2,521","24,252,818","530,540","45,713,468"
9,10,Spain,"4,961,128",,"86,463",,"4,755,738",,"118,927",675,"106,058","1,848","64,557,887","1,380,108","46,777,408"
10,11,Colombia,"4,959,144",,"126,336",,"4,801,028",,"31,780",542,"96,182","2,450","25,594,134","496,398","51,559,738"
11,12,Italy,"4,679,067","+3,312","130,998",+25,"4,455,320","+4,187","92,749",432,"77,531","2,171","93,115,007","1,542,898","60,350,705"
12,13,Germany,"4,252,272","+1,277","94,280",+26,"4,018,500","+8,400","139,492","1,334","50,551","1,121","73,348,901","871,970","84,118,616"
